team,year,fifa_points_pre,fifa_points_trend_12m,weighted_form_score,weighted_goal_diff,round_reached,twin_team,twin_year,similarity_pct,twin_round_reached,twin_round_label
Germany,2026,1692.19,0.0,3.102496666666667,1.5983713333333334,,Denmark,2022,99.92964345069004,0,Grupos
Spain,2026,1836.42,0.0,3.3102066666666663,2.4808946666666665,,Brazil,2022,99.63795370931285,2,Cuartos
Portugal,2026,1752.14,0.0,3.101242,1.8185326666666666,,Brazil,2022,99.4501580959043,2,Cuartos
Argentina,2026,1889.02,0.0,3.476564666666667,2.385876666666667,,Spain,2022,99.43294674246891,1,Octavos
France,2026,1851.92,0.0,3.443805333333333,1.8620960000000002,,Denmark,2022,99.35280558245657,0,Grupos
Jordan,2026,1377.52,0.0,1.7838646666666664,-0.19309933333333343,,Panama,2018,99.34026574002087,0,Grupos
Netherlands,2026,1759.95,0.0,2.595287999999999,1.7881653333333332,,Switzerland,2018,99.29648728305062,1,Octavos
England,2026,1817.28,0.0,3.2157466666666665,2.6696546666666663,,Brazil,2022,99.14026228568122,2,Cuartos
Japan,2026,1639.6,0.0,3.024484,1.6048626666666665,,Spain,2022,98.9575083338526,1,Octavos
Haiti,2026,1278.56,0.0,1.5103453333333332,0.07744066666666655,,Panama,2018,98.65430785600863,0,Grupos
Austria,2026,1580.37,0.0,2.7289206666666668,1.5389146666666669,,Spain,2018,98.64510704571796,1,Octavos
Ghana,2026,1360.43,0.0,1.5814813333333333,0.17373133333333346,,Panama,2018,98.60361908217752,0,Grupos
Morocco,2026,1676.14,0.0,3.2793906666666666,2.2351186666666667,,Spain,2018,98.37306414743621,1,Octavos
Saudi Arabia,2026,1433.16,0.0,1.7745399999999998,-0.30487333333333333,,Panama,2018,98.21281046456794,0,Grupos
New Zealand,2026,1199.04,0.0,1.283164,0.07987200000000001,,Panama,2018,97.78538778575219,0,Grupos
Croatia,2026,1699.6,0.0,2.8341426666666667,1.3659273333333337,,Denmark,2022,97.40427215096345,0,Grupos
Mexico,2026,1635.66,0.0,2.7034293333333332,0.7838746666666666,,England,2018,96.23054229411781,3,Semis
Tunisia,2026,1504.86,0.0,1.8743926666666666,0.0032219999999999987,,Costa Rica,2018,96.15625241245243,0,Grupos
Belgium,2026,1768.14,0.0,2.8258666666666667,2.570192,,Brazil,2022,96.00683070343169,2,Cuartos
Panama,2026,1502.55,0.0,2.120838,0.36295133333333335,,Costa Rica,2018,95.79330955795217,0,Grupos
Egypt,2026,1515.64,0.0,2.2141406666666668,0.41936533333333337,,Costa Rica,2018,95.762882650533,0,Grupos
Switzerland,2026,1641.0,0.0,2.79486,1.9854406666666666,,Brazil,2022,95.66618323303088,2,Cuartos
Uzbekistan,2026,1413.06,0.0,2.0463086666666666,0.521296,,Panama,2018,95.64735285309777,0,Grupos
Iran,2026,1622.92,0.0,2.4983440000000003,1.5068806666666665,,Switzerland,2018,95.00619515363282,1,Octavos
Ivory Coast,2026,1509.12,0.0,2.93236,1.766817333333333,,Serbia,2022,94.92045785565875,0,Grupos
Algeria,2026,1486.03,0.0,3.2388360000000005,2.2920713333333333,,Serbia,2022,94.89496203589336,0,Grupos
Qatar,2026,1481.69,0.0,1.223508,-0.8025613333333332,,Costa Rica,2018,94.83615692893717,0,Grupos
Iraq,2026,1435.9,0.0,2.4917486666666666,0.31584066666666666,,Ecuador,2022,93.92255070020707,0,Grupos
Cape Verde,2026,1331.46,0.0,2.190776,0.7047333333333334,,Ecuador,2022,92.6663961032793,0,Grupos
Senegal,2026,1620.87,0.0,2.6719326666666663,1.7644666666666666,,Spain,2018,92.6494302174309,1,Octavos
Norway,2026,1472.16,0.0,3.209152666666667,3.2241993333333334,,Serbia,2022,92.6213946884454,0,Grupos
South Korea,2026,1572.61,0.0,2.5257300000000003,0.5516606666666668,,Uruguay,2018,91.95643283442274,2,Cuartos
Sweden,2026,1528.18,0.0,2.009659333333334,0.3665413333333334,,Costa Rica,2018,90.36588026697702,0,Grupos
Curaçao,2026,1261.38,0.0,1.7419046666666667,0.6204473333333334,,Panama,2018,90.25765272573,0,Grupos
Uruguay,2026,1701.34,0.0,2.1701353333333335,0.02470066666666663,,Uruguay,2018,89.7844694807382,2,Cuartos
