team,year,fifa_points_pre,fifa_points_trend_12m,weighted_form_score,weighted_goal_diff
Argentina,2018,1241.0,-385.0,1.635,0.06360000000000009
Australia,2018,718.0,37.0,0.9101999999999999,-0.3955333333333334
Belgium,2018,1298.0,6.0,1.4454,0.9419333333333332
Brazil,2018,1431.0,-284.0,2.3125333333333336,1.4912
Colombia,2018,986.0,-380.0,1.2342,0.1882666666666667
Costa Rica,2018,884.0,-29.0,0.9533333333333334,-0.47193333333333326
Croatia,2018,945.0,-88.0,1.2210666666666665,0.007266666666666717
Denmark,2018,1051.0,391.0,1.5016,0.8784
Egypt,2018,649.0,-254.0,0.5370666666666667,-0.3488666666666667
England,2018,1051.0,-68.0,1.3423333333333334,0.21913333333333332
France,2018,1198.0,-134.0,1.6058000000000001,0.7611333333333334
Germany,2018,1558.0,47.0,1.7062,0.7674666666666666
Iceland,2018,908.0,31.0,0.8699999999999999,0.0328666666666667
Iran,2018,708.0,-121.0,1.1819333333333333,0.3766
Japan,2018,521.0,-168.0,0.8472666666666666,-0.4017333333333333
Mexico,2018,989.0,-61.0,1.4699333333333333,0.3758666666666667
Morocco,2018,686.0,55.0,1.4005333333333334,0.7376666666666666
Nigeria,2018,618.0,-112.0,1.2210666666666667,0.2657333333333332
Panama,2018,571.0,-55.0,0.7596666666666666,-0.557
Peru,2018,1125.0,17.0,1.7311333333333332,0.7778000000000002
Poland,2018,1183.0,-15.0,1.0960666666666667,0.4049333333333333
Portugal,2018,1274.0,7.0,1.5252000000000003,0.5902666666666667
Russia,2018,457.0,-104.0,0.7342000000000001,-0.6018666666666667
Saudi Arabia,2018,465.0,-171.0,0.35100000000000003,-1.1588666666666667
Senegal,2018,838.0,-1.0,0.9714666666666667,0.34893333333333326
Serbia,2018,751.0,85.0,0.9835999999999999,0.22746666666666665
South Korea,2018,544.0,-159.0,0.9125333333333333,-0.07066666666666664
Spain,2018,1126.0,-72.0,1.9291333333333331,1.5310666666666668
Sweden,2018,880.0,87.0,1.3854666666666666,0.3534666666666667
Switzerland,2018,1199.0,-64.0,1.2285333333333333,0.6244666666666666
Tunisia,2018,910.0,205.0,1.2560666666666667,0.1848
Uruguay,2018,1018.0,-81.0,1.0844666666666667,-0.5160666666666667
Argentina,2022,1773.88,23.37000000000012,3.8334573333333335,3.0067853333333336
Australia,2022,1488.72,3.839999999999918,2.3133613333333334,0.7929539999999998
Belgium,2022,1816.71,-11.740000000000009,2.313917333333334,0.7725306666666665
Brazil,2022,1841.3,14.950000000000045,3.9362440000000003,3.275605333333334
Cameroon,2022,1471.44,34.090000000000146,2.0803306666666668,0.38798533333333335
Canada,2022,1475.0,12.680000000000064,2.9813680000000002,1.572643333333333
Costa Rica,2022,1503.59,66.15999999999985,2.9399566666666668,0.7963866666666667
Croatia,2022,1645.64,24.90000000000009,3.4880440000000004,1.5245206666666669
Denmark,2022,1666.57,12.029999999999973,3.1150599999999997,1.5346206666666666
Ecuador,2022,1464.39,15.650000000000091,2.371325333333333,0.3879933333333333
England,2022,1728.47,-27.049999999999955,2.2015613333333333,1.6991780000000003
France,2022,1759.78,-26.37000000000012,2.6654619999999998,1.4941293333333334
Germany,2022,1650.21,1.8800000000001091,2.9562566666666665,2.644710666666667
Ghana,2022,1393.0,-35.97000000000003,1.590514,-0.5360193333333333
Iran,2022,1564.61,7.029999999999973,2.8372806666666666,0.8086973333333334
Japan,2022,1559.54,28.00999999999999,2.7032760000000007,1.6038606666666664
Mexico,2022,1644.89,6.130000000000109,2.2772360000000003,0.5019413333333335
Morocco,2022,1563.5,38.0,2.61612,0.885898
Netherlands,2022,1694.51,40.77999999999997,3.656158,2.5929386666666665
Poland,2022,1548.59,17.970000000000027,2.3794120000000003,0.3561493333333334
Portugal,2022,1676.56,16.309999999999945,3.0671806666666663,2.6212220000000004
Qatar,2022,1439.89,8.88000000000011,2.7258513333333334,1.1049126666666667
Saudi Arabia,2022,1437.78,-3.3900000000001,1.6503659999999998,-0.2464713333333334
Senegal,2022,1584.38,22.700000000000045,2.257208,0.8069133333333334
Serbia,2022,1563.62,16.23999999999978,3.2916440000000002,1.883858
South Korea,2022,1530.3,23.059999999999945,2.7882960000000003,0.926314
Spain,2022,1715.22,10.470000000000027,3.4266333333333336,1.7314673333333332
Switzerland,2022,1635.92,-6.9099999999998545,2.1577646666666666,0.20290133333333335
Tunisia,2022,1507.54,-4.5900000000001455,2.386036666666667,0.6835793333333335
United States,2022,1627.48,-19.660000000000082,2.4258573333333335,1.0748360000000001
Uruguay,2022,1638.71,42.049999999999955,2.5949999999999998,0.5824813333333334
Wales,2022,1569.82,-8.190000000000055,1.8674453333333332,0.1464380000000001
